Parametros;Precisao;Revocacao;F1-Score;Tempo
Boxing_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9864;0.8000;0.8835;0.6606
Boxing_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9861;0.8165;0.8933;0.9084
Boxing_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9861;0.8170;0.8936;0.9162
Boxing_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9861;0.8165;0.8933;0.9449
Boxing_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9861;0.8165;0.8933;0.9468
Boxing_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9875;0.8090;0.8894;1.0334
Boxing_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9898;0.8027;0.8865;1.1382
Boxing_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9896;0.7887;0.8779;1.2328
Boxing_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9919;0.7670;0.8651;1.3972
Boxing_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9924;0.7498;0.8542;1.6551
Boxing_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9929;0.7315;0.8424;1.8799
Boxing_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9958;0.7157;0.8329;2.0333
Boxing_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9968;0.6990;0.8217;2.3793
Boxing_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9982;0.6793;0.8084;2.5271
Boxing_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9985;0.4900;0.6574;4.1979
Boxing_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9987;0.3875;0.5584;5.7680
Boxing_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9984;0.3048;0.4670;7.4273
Boxing_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9989;0.2345;0.3798;9.0106
Boxing_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9985;0.1695;0.2898;10.7160
Boxing_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9980;0.1227;0.2186;12.2296
Boxing_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.0820;0.1516;14.0315
Boxing_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0452;0.0866;15.8343
