Parametros;Precisao;Revocacao;F1-Score;Tempo
Children_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9391;0.9167;0.9278;0.8296
Children_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9366;0.9273;0.9319;1.1533
Children_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9361;0.9273;0.9317;1.2115
Children_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9362;0.9280;0.9321;1.3251
Children_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9362;0.9280;0.9321;1.3423
Children_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9364;0.9277;0.9321;1.3805
Children_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9363;0.9257;0.9310;1.4633
Children_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9384;0.9183;0.9282;1.5549
Children_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9409;0.9115;0.9260;1.6251
Children_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9428;0.9060;0.9240;1.7980
Children_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9457;0.8975;0.9210;1.9986
Children_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9488;0.8898;0.9183;2.1440
Children_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9510;0.8782;0.9132;2.2951
Children_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9535;0.8672;0.9084;2.4921
Children_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9731;0.7780;0.8647;4.2900
Children_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9804;0.6875;0.8082;6.0298
Children_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9829;0.5763;0.7266;7.9090
Children_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9869;0.4530;0.6210;10.3195
Children_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9885;0.3453;0.5118;13.2086
Children_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9869;0.2442;0.3916;13.3935
Children_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9856;0.1540;0.2664;14.7569
Children_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9803;0.0747;0.1389;16.4816
