Parametros;Precisao;Revocacao;F1-Score;Tempo
Discrimination_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9698;0.9165;0.9424;0.7620
Discrimination_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9683;0.9237;0.9455;0.9939
Discrimination_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9683;0.9233;0.9452;1.0437
Discrimination_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9685;0.9233;0.9453;1.0727
Discrimination_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9685;0.9233;0.9453;1.0963
Discrimination_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9690;0.9230;0.9455;1.1551
Discrimination_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9724;0.9155;0.9431;1.2439
Discrimination_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9784;0.9067;0.9412;1.4034
Discrimination_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9814;0.8985;0.9381;1.4838
Discrimination_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9823;0.8882;0.9329;1.7310
Discrimination_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9843;0.8770;0.9276;1.9004
Discrimination_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9863;0.8658;0.9221;2.1336
Discrimination_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9870;0.8542;0.9158;2.2369
Discrimination_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9874;0.8445;0.9104;2.4367
Discrimination_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9916;0.7342;0.8437;4.2178
Discrimination_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9944;0.6195;0.7634;6.1986
Discrimination_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9952;0.5200;0.6831;7.7026
Discrimination_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9963;0.4070;0.5779;9.2894
Discrimination_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9983;0.2943;0.4545;10.9042
Discrimination_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;1.0000;0.2092;0.3461;12.9436
Discrimination_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.1210;0.2159;15.9070
Discrimination_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0530;0.1007;16.5959
