Parametros;Precisao;Revocacao;F1-Score;Tempo
Exports_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9814;0.9087;0.9437;0.8321
Exports_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9796;0.9137;0.9455;1.0226
Exports_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9796;0.9145;0.9460;1.0731
Exports_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9799;0.9143;0.9459;1.1771
Exports_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9796;0.9143;0.9458;1.1713
Exports_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9796;0.9143;0.9458;1.2282
Exports_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9806;0.9117;0.9449;1.2726
Exports_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9818;0.9042;0.9414;1.3873
Exports_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9830;0.8962;0.9376;1.5751
Exports_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9847;0.8875;0.9336;1.6991
Exports_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9849;0.8788;0.9288;1.8376
Exports_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9853;0.8690;0.9235;2.0676
Exports_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9856;0.8585;0.9177;2.2415
Exports_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9866;0.8460;0.9109;2.4073
Exports_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9899;0.7568;0.8578;4.0579
Exports_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9914;0.6623;0.7941;5.8735
Exports_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9919;0.5517;0.7091;7.8001
Exports_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9925;0.4637;0.6321;9.1618
Exports_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9913;0.3705;0.5394;10.9763
Exports_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9921;0.2828;0.4401;12.7850
Exports_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9932;0.1812;0.3066;14.3564
Exports_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9894;0.0932;0.1704;16.4768
