Parametros;Precisao;Revocacao;F1-Score;Tempo
Game_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9248;0.8952;0.9098;0.9000
Game_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9234;0.9077;0.9155;1.1906
Game_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9233;0.9083;0.9157;1.2221
Game_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9235;0.9085;0.9159;1.2894
Game_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9235;0.9090;0.9162;1.3458
Game_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9230;0.9083;0.9156;1.3779
Game_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9240;0.9060;0.9149;1.4858
Game_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9243;0.9010;0.9125;1.6068
Game_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9256;0.8922;0.9086;1.6764
Game_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9293;0.8838;0.9059;1.7797
Game_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9307;0.8762;0.9027;1.9805
Game_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9322;0.8665;0.8982;2.1749
Game_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9353;0.8565;0.8942;2.4386
Game_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9373;0.8522;0.8928;2.6800
Game_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9607;0.7582;0.8476;4.2975
Game_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9704;0.6552;0.7823;6.1327
Game_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9811;0.5593;0.7124;8.1630
Game_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9881;0.4565;0.6245;9.9090
Game_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9919;0.3655;0.5342;11.4422
Game_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9924;0.2612;0.4136;12.7204
Game_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9951;0.1522;0.2641;14.4048
Game_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0770;0.1430;15.4113
