Parametros;Precisao;Revocacao;F1-Score;Tempo
Hurricane_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9786;0.9143;0.9453;0.6946
Hurricane_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9776;0.9163;0.9459;0.8660
Hurricane_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9779;0.9167;0.9463;0.9186
Hurricane_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9781;0.9170;0.9466;0.9643
Hurricane_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9781;0.9170;0.9466;0.9694
Hurricane_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9807;0.9165;0.9475;1.0139
Hurricane_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9820;0.9113;0.9453;1.0881
Hurricane_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9852;0.9002;0.9408;1.2389
Hurricane_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9864;0.8875;0.9343;1.4117
Hurricane_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9876;0.8780;0.9296;1.6029
Hurricane_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9894;0.8605;0.9204;1.7393
Hurricane_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9909;0.8452;0.9123;1.9499
Hurricane_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9919;0.8297;0.9036;2.1507
Hurricane_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9930;0.8165;0.8961;2.3469
Hurricane_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9964;0.6973;0.8204;4.1413
Hurricane_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9971;0.6008;0.7498;6.0333
Hurricane_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9974;0.4865;0.6540;7.5021
Hurricane_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9974;0.3840;0.5545;9.1002
Hurricane_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9983;0.2893;0.4485;10.8561
Hurricane_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9988;0.2070;0.3429;12.7141
Hurricane_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9980;0.1270;0.2253;15.0825
Hurricane_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0597;0.1128;16.3624
