Parametros;Precisao;Revocacao;F1-Score;Tempo
Lifestyle_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9014;0.8800;0.8906;0.9264
Lifestyle_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.8948;0.8932;0.8940;1.3215
Lifestyle_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.8956;0.8942;0.8949;1.4050
Lifestyle_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.8951;0.8942;0.8947;1.4772
Lifestyle_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.8952;0.8945;0.8948;1.5531
Lifestyle_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.8951;0.8940;0.8946;1.5444
Lifestyle_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.8961;0.8928;0.8944;1.5780
Lifestyle_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.8993;0.8882;0.8937;1.6998
Lifestyle_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9045;0.8828;0.8935;1.8087
Lifestyle_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9107;0.8742;0.8921;1.9893
Lifestyle_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9147;0.8682;0.8909;2.0986
Lifestyle_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9175;0.8592;0.8874;2.2935
Lifestyle_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9212;0.8502;0.8843;2.4256
Lifestyle_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9235;0.8417;0.8807;2.4982
Lifestyle_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9466;0.7398;0.8305;4.1866
Lifestyle_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9598;0.6440;0.7708;5.9823
Lifestyle_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9725;0.5480;0.7010;7.6010
Lifestyle_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9850;0.4447;0.6128;9.3629
Lifestyle_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9896;0.3578;0.5255;11.0799
Lifestyle_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9924;0.2607;0.4130;12.5676
Lifestyle_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9956;0.1715;0.2926;14.2529
Lifestyle_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9971;0.0865;0.1592;15.6709
