Parametros;Precisao;Revocacao;F1-Score;Tempo
Privacy_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9805;0.9155;0.9469;0.7591
Privacy_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9799;0.9245;0.9514;1.0558
Privacy_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9799;0.9247;0.9515;1.1015
Privacy_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9799;0.9247;0.9515;1.1086
Privacy_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9799;0.9247;0.9515;1.1388
Privacy_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9798;0.9235;0.9508;1.1859
Privacy_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9816;0.9200;0.9498;1.2415
Privacy_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9849;0.9120;0.9470;1.3657
Privacy_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9880;0.9028;0.9434;1.4820
Privacy_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9922;0.8952;0.9413;1.6519
Privacy_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9950;0.8875;0.9382;1.8265
Privacy_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9955;0.8772;0.9326;2.0771
Privacy_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9963;0.8670;0.9271;2.1942
Privacy_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9968;0.8570;0.9216;2.4106
Privacy_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9984;0.7592;0.8625;4.2465
Privacy_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9988;0.6498;0.7873;6.0727
Privacy_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9991;0.5525;0.7115;7.8665
Privacy_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9995;0.4565;0.6267;9.2993
Privacy_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9993;0.3615;0.5309;10.7494
Privacy_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9990;0.2555;0.4069;12.2872
Privacy_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9985;0.1663;0.2850;13.9361
Privacy_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9971;0.0855;0.1575;15.5340
