Parametros;Precisao;Revocacao;F1-Score;Tempo
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9805;0.9062;0.9419;0.7636
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9799;0.9133;0.9454;0.9987
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9794;0.9137;0.9454;1.0418
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9796;0.9137;0.9455;1.0816
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9796;0.9135;0.9454;1.1078
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9799;0.9137;0.9457;1.1729
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9803;0.9097;0.9437;1.2249
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9818;0.9040;0.9413;1.4246
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9825;0.8985;0.9386;1.5880
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9834;0.8912;0.9351;1.7908
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9839;0.8842;0.9314;1.8987
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9854;0.8762;0.9276;2.0654
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9863;0.8668;0.9227;2.2327
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9868;0.8588;0.9183;2.4544
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9904;0.7762;0.8704;4.2109
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9924;0.6865;0.8116;5.9470
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9941;0.5940;0.7437;7.7633
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9960;0.5008;0.6664;9.5021
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9962;0.3962;0.5670;11.1219
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9976;0.3098;0.4727;12.7681
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.2100;0.3471;14.4554
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.1027;0.1864;15.9882
