Parametros;Precisao;Revocacao;F1-Score;Tempo
Society_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.7146;0.8800;0.7887;1.0316
Society_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.7007;0.8920;0.7849;1.3821
Society_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.7004;0.8920;0.7847;1.4305
Society_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.7005;0.8925;0.7850;1.5241
Society_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.7004;0.8925;0.7849;1.5275
Society_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.7004;0.8925;0.7849;1.5811
Society_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.7017;0.8925;0.7857;1.5987
Society_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.7053;0.8890;0.7866;1.6812
Society_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.7106;0.8828;0.7874;1.7981
Society_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.7160;0.8755;0.7878;1.9046
Society_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.7227;0.8680;0.7887;2.0411
Society_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.7259;0.8592;0.7869;2.1771
Society_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.7291;0.8510;0.7853;2.3607
Society_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.7348;0.8445;0.7859;2.5220
Society_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.7772;0.7595;0.7682;4.1622
Society_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.8161;0.6655;0.7331;6.0472
Society_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.8348;0.5735;0.6799;7.5940
Society_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.8691;0.4748;0.6141;9.1734
Society_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.8925;0.3840;0.5370;11.0115
Society_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9189;0.2863;0.4365;12.5905
Society_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9393;0.1857;0.3102;15.0730
Society_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9600;0.0900;0.1646;15.9177
