Parametros;Precisao;Revocacao;F1-Score;Tempo
Witness_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.7673;0.9045;0.8303;0.8114
Witness_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.7591;0.9180;0.8311;1.0673
Witness_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.7592;0.9190;0.8315;1.1166
Witness_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.7589;0.9190;0.8313;1.1520
Witness_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.7589;0.9190;0.8313;1.1870
Witness_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.7584;0.9187;0.8309;1.2375
Witness_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.7596;0.9145;0.8299;1.2907
Witness_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.7666;0.9097;0.8321;1.4035
Witness_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.7736;0.9028;0.8332;1.5679
Witness_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.7802;0.8965;0.8343;1.6462
Witness_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.7868;0.8885;0.8346;1.7817
Witness_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.7929;0.8778;0.8332;2.0065
Witness_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.8011;0.8698;0.8340;2.1430
Witness_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.8081;0.8578;0.8322;2.3120
Witness_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.8762;0.7485;0.8073;4.0170
Witness_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9245;0.6335;0.7518;5.6709
Witness_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9499;0.5165;0.6691;7.4372
Witness_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9653;0.4098;0.5753;9.2087
Witness_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9747;0.2790;0.4338;10.7428
Witness_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9849;0.1790;0.3029;12.3262
Witness_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9922;0.0955;0.1742;13.9494
Witness_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9737;0.0185;0.0363;15.3742
