Parametros;Precisao;Revocacao;F1-Score;Tempo
Constitution_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9701;0.9075;0.9377;0.7065
Constitution_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9692;0.9123;0.9399;0.9173
Constitution_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9692;0.9127;0.9401;0.9454
Constitution_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9692;0.9130;0.9403;0.9876
Constitution_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9692;0.9130;0.9403;1.0058
Constitution_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9691;0.9107;0.9390;1.0806
Constitution_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9708;0.9073;0.9380;1.1341
Constitution_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9719;0.8982;0.9336;1.2756
Constitution_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9726;0.8868;0.9277;1.4557
Constitution_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9737;0.8790;0.9239;1.6086
Constitution_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9761;0.8688;0.9193;1.7341
Constitution_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9783;0.8572;0.9138;1.8630
Constitution_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9806;0.8478;0.9094;1.9902
Constitution_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9821;0.8357;0.9030;2.1270
Constitution_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9881;0.7270;0.8377;3.8742
Constitution_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9960;0.6158;0.7610;5.5705
Constitution_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9981;0.5288;0.6913;7.1603
Constitution_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9983;0.4475;0.6180;8.7050
Constitution_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9993;0.3588;0.5280;10.2170
Constitution_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9991;0.2830;0.4411;11.6548
Constitution_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.1923;0.3225;13.1032
Constitution_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.1072;0.1937;14.4933
