Parametros;Precisao;Revocacao;F1-Score;Tempo
Crime_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.8920;0.9273;0.9093;0.7476
Crime_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.8884;0.9353;0.9112;0.9147
Crime_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.8886;0.9355;0.9115;0.9549
Crime_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.8883;0.9347;0.9110;0.9820
Crime_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.8883;0.9347;0.9110;1.0076
Crime_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.8891;0.9337;0.9109;1.0455
Crime_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.8913;0.9325;0.9114;1.1571
Crime_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.8946;0.9275;0.9108;1.2945
Crime_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.8973;0.9193;0.9081;1.4311
Crime_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9010;0.9105;0.9057;1.5914
Crime_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9056;0.9040;0.9048;1.7553
Crime_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9073;0.8960;0.9016;1.9024
Crime_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9095;0.8895;0.8994;2.0748
Crime_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9121;0.8820;0.8968;2.2048
Crime_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9367;0.8023;0.8643;3.9667
Crime_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9498;0.7183;0.8179;5.5943
Crime_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9556;0.6078;0.7430;7.1962
Crime_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9607;0.5015;0.6590;8.7358
Crime_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9670;0.4025;0.5684;10.2898
Crime_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9728;0.3035;0.4627;11.7618
Crime_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9700;0.2023;0.3347;13.1430
Crime_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9676;0.1045;0.1886;14.4335
