Parametros;Precisao;Revocacao;F1-Score;Tempo
Economy_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9472;0.9200;0.9334;0.7547
Economy_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9466;0.9303;0.9383;0.9780
Economy_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9466;0.9300;0.9382;0.9945
Economy_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9466;0.9300;0.9382;1.0144
Economy_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9466;0.9300;0.9382;1.0350
Economy_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9466;0.9297;0.9381;1.0688
Economy_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9494;0.9280;0.9386;1.1591
Economy_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9536;0.9195;0.9362;1.3150
Economy_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9565;0.9073;0.9312;1.4596
Economy_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9588;0.9008;0.9288;1.6289
Economy_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9604;0.8920;0.9250;1.7389
Economy_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9643;0.8835;0.9221;1.9131
Economy_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9666;0.8670;0.9141;2.0972
Economy_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9686;0.8550;0.9082;2.2596
Economy_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9790;0.7585;0.8548;3.9512
Economy_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9810;0.6583;0.7879;5.6078
Economy_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9818;0.5535;0.7079;7.1983
Economy_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9833;0.4575;0.6245;8.7520
Economy_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9815;0.3583;0.5249;10.2586
Economy_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9831;0.2615;0.4131;11.7168
Economy_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9802;0.1735;0.2948;13.0887
Economy_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9789;0.0930;0.1699;14.4311
