Parametros;Precisao;Revocacao;F1-Score;Tempo
Holiday_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9035;0.9107;0.9071;0.8722
Holiday_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9003;0.9210;0.9105;1.1557
Holiday_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.8999;0.9215;0.9106;1.2264
Holiday_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9001;0.9213;0.9106;1.2883
Holiday_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9001;0.9213;0.9106;1.3169
Holiday_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9011;0.9207;0.9108;1.3404
Holiday_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9042;0.9200;0.9120;1.3840
Holiday_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9089;0.9153;0.9121;1.4581
Holiday_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9149;0.9090;0.9120;1.5720
Holiday_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9190;0.9025;0.9107;1.7032
Holiday_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9245;0.8932;0.9086;1.8129
Holiday_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9298;0.8835;0.9060;2.0191
Holiday_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9358;0.8742;0.9040;2.1784
Holiday_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9396;0.8670;0.9018;2.3190
Holiday_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9591;0.7630;0.8499;4.0383
Holiday_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9685;0.6600;0.7850;5.7222
Holiday_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9800;0.5627;0.7149;7.2595
Holiday_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9823;0.4713;0.6369;8.8491
Holiday_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9895;0.3772;0.5462;10.2886
Holiday_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9909;0.2720;0.4268;11.7885
Holiday_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9935;0.1918;0.3215;13.1409
Holiday_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9973;0.0920;0.1685;14.4563
