Parametros;Precisao;Revocacao;F1-Score;Tempo
Logistics_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9763;0.8958;0.9343;0.7430
Logistics_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9758;0.9060;0.9396;1.0062
Logistics_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9758;0.9067;0.9400;1.1005
Logistics_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9755;0.9070;0.9400;1.1707
Logistics_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9753;0.9070;0.9399;1.1852
Logistics_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9755;0.9048;0.9388;1.2159
Logistics_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9772;0.9008;0.9374;1.3287
Logistics_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9784;0.8948;0.9347;1.4550
Logistics_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9802;0.8892;0.9325;1.5631
Logistics_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9808;0.8825;0.9291;1.7185
Logistics_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9823;0.8760;0.9261;1.9189
Logistics_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9831;0.8702;0.9232;2.0717
Logistics_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9840;0.8612;0.9185;2.1700
Logistics_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9845;0.8552;0.9153;2.3044
Logistics_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9902;0.7580;0.8587;3.9781
Logistics_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9971;0.6765;0.8061;5.6050
Logistics_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9983;0.5970;0.7472;7.2100
Logistics_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9985;0.4998;0.6661;8.7682
Logistics_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9981;0.4022;0.5734;10.3127
Logistics_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9975;0.3045;0.4666;11.7118
Logistics_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9976;0.2087;0.3453;13.0971
Logistics_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0978;0.1781;14.3996
