Parametros;Precisao;Revocacao;F1-Score;Tempo
Securities_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9785;0.9123;0.9442;0.6992
Securities_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9779;0.9167;0.9463;0.8806
Securities_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9776;0.9163;0.9459;0.9299
Securities_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9776;0.9167;0.9462;0.9687
Securities_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9776;0.9167;0.9462;0.9959
Securities_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9779;0.9163;0.9461;1.0227
Securities_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9790;0.9107;0.9437;1.1106
Securities_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9799;0.9015;0.9391;1.2386
Securities_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9805;0.8922;0.9343;1.4115
Securities_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9816;0.8815;0.9289;1.5641
Securities_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9823;0.8755;0.9258;1.7026
Securities_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9838;0.8660;0.9212;1.8186
Securities_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9850;0.8565;0.9163;1.9760
Securities_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9866;0.8445;0.9100;2.1339
Securities_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9936;0.7382;0.8471;3.8319
Securities_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9972;0.6172;0.7625;5.5053
Securities_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9971;0.5108;0.6755;7.1386
Securities_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9982;0.4138;0.5850;8.7124
Securities_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9992;0.3280;0.4939;10.2044
Securities_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9990;0.2475;0.3967;11.6782
Securities_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9983;0.1475;0.2570;13.0967
Securities_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0625;0.1176;14.4560
