Parametros;Precisao;Revocacao;F1-Score;Tempo
Series_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.8639;0.9028;0.8829;0.7963
Series_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.8568;0.9143;0.8846;1.0922
Series_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.8567;0.9145;0.8846;1.1403
Series_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.8564;0.9143;0.8844;1.2129
Series_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.8564;0.9143;0.8844;1.2299
Series_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.8567;0.9147;0.8848;1.2767
Series_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.8580;0.9137;0.8850;1.3491
Series_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.8622;0.9075;0.8843;1.4683
Series_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.8711;0.9035;0.8870;1.5770
Series_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.8780;0.8980;0.8879;1.7515
Series_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.8835;0.8890;0.8862;1.8816
Series_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.8918;0.8800;0.8859;1.9928
Series_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.8951;0.8725;0.8837;2.1511
Series_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9013;0.8655;0.8831;2.3426
Series_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9378;0.7572;0.8379;3.8697
Series_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9577;0.6565;0.7790;5.7117
Series_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9689;0.5603;0.7100;7.2978
Series_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9803;0.4730;0.6381;8.7329
Series_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9860;0.3693;0.5373;10.2743
Series_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9915;0.2900;0.4487;11.7557
Series_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9923;0.1943;0.3249;13.1684
Series_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9972;0.0877;0.1613;14.4703
