Parametros;Precisao;Revocacao;F1-Score;Tempo
Teachers_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9756;0.9407;0.9579;0.6885
Teachers_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9750;0.9445;0.9595;0.8599
Teachers_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9750;0.9445;0.9595;0.8866
Teachers_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9747;0.9447;0.9595;0.9113
Teachers_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9747;0.9447;0.9595;0.9277
Teachers_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9777;0.9435;0.9603;1.0112
Teachers_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9812;0.9407;0.9606;1.0820
Teachers_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9860;0.9357;0.9602;1.1927
Teachers_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9880;0.9275;0.9568;1.3658
Teachers_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9887;0.9180;0.9520;1.4700
Teachers_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9902;0.9107;0.9488;1.6997
Teachers_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9923;0.9038;0.9460;1.8607
Teachers_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9933;0.8958;0.9420;2.0288
Teachers_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9933;0.8885;0.9380;2.1354
Teachers_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9953;0.8003;0.8872;3.8654
Teachers_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9957;0.7013;0.8229;5.5828
Teachers_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9956;0.6198;0.7639;7.1077
Teachers_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9962;0.5278;0.6900;8.7782
Teachers_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9967;0.4585;0.6281;10.2942
Teachers_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9973;0.3720;0.5419;11.7273
Teachers_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9964;0.2762;0.4326;13.4085
Teachers_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9973;0.1842;0.3110;15.0650
