Parametros;Precisao;Revocacao;F1-Score;Tempo
Theft_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9096;0.9310;0.9202;0.7099
Theft_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9076;0.9353;0.9212;0.8557
Theft_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9082;0.9350;0.9214;0.8672
Theft_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9085;0.9353;0.9217;0.9121
Theft_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9087;0.9353;0.9218;0.9289
Theft_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9089;0.9353;0.9219;0.9590
Theft_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9115;0.9320;0.9216;1.0220
Theft_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9192;0.9247;0.9220;1.1887
Theft_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9255;0.9127;0.9191;1.3808
Theft_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9305;0.9042;0.9172;1.5493
Theft_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9360;0.8928;0.9139;1.6884
Theft_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9391;0.8828;0.9101;1.9271
Theft_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9424;0.8752;0.9076;2.0586
Theft_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9460;0.8668;0.9046;2.2356
Theft_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9641;0.7580;0.8487;3.8887
Theft_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9738;0.6512;0.7805;5.5716
Theft_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9784;0.5550;0.7082;7.2179
Theft_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9822;0.4680;0.6339;8.8229
Theft_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9851;0.3640;0.5316;10.2923
Theft_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9856;0.2737;0.4285;11.8396
Theft_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9871;0.1908;0.3197;13.1348
Theft_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9887;0.0875;0.1608;14.4665
