Parametros;Precisao;Revocacao;F1-Score;Tempo
Toy_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9863;0.9008;0.9416;0.7861
Toy_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9864;0.9083;0.9457;0.9667
Toy_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9864;0.9077;0.9454;1.0065
Toy_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9864;0.9073;0.9452;1.0173
Toy_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9864;0.9075;0.9453;1.0332
Toy_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9864;0.9073;0.9452;1.0770
Toy_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9872;0.9038;0.9436;1.1502
Toy_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9876;0.8988;0.9411;1.2588
Toy_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9895;0.8932;0.9389;1.3862
Toy_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9908;0.8860;0.9355;1.5942
Toy_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9913;0.8782;0.9313;1.7741
Toy_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9915;0.8700;0.9268;1.9850
Toy_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9928;0.8648;0.9244;2.1498
Toy_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9927;0.8555;0.9190;2.2720
Toy_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9971;0.7625;0.8641;3.9123
Toy_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9970;0.6685;0.8004;5.5673
Toy_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9970;0.5785;0.7322;7.1068
Toy_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9974;0.4740;0.6426;8.7528
Toy_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9967;0.3728;0.5426;10.2403
Toy_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9981;0.2682;0.4229;11.7003
Toy_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9972;0.1752;0.2981;13.1648
Toy_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9969;0.0795;0.1473;14.5296
