Parametros;Precisao;Revocacao;F1-Score;Tempo
Anniversary_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9179;0.8830;0.9001;0.7546
Anniversary_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9162;0.8938;0.9048;1.0442
Anniversary_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9157;0.8940;0.9047;1.1046
Anniversary_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9155;0.8938;0.9045;1.1419
Anniversary_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9157;0.8938;0.9046;1.1743
Anniversary_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9167;0.8918;0.9041;1.2185
Anniversary_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9178;0.8845;0.9008;1.2998
Anniversary_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9209;0.8790;0.8995;1.4466
Anniversary_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9256;0.8740;0.8991;1.5593
Anniversary_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9287;0.8668;0.8967;1.6337
Anniversary_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9340;0.8562;0.8934;1.8011
Anniversary_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9393;0.8472;0.8909;1.9677
Anniversary_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9410;0.8373;0.8861;2.1366
Anniversary_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9444;0.8275;0.8821;2.2378
Anniversary_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9634;0.7177;0.8226;3.9889
Anniversary_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9773;0.6018;0.7449;5.6707
Anniversary_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9837;0.4825;0.6474;7.3284
Anniversary_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9848;0.3728;0.5408;8.8260
Anniversary_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9850;0.2782;0.4339;10.3409
Anniversary_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9884;0.1913;0.3205;11.7567
Anniversary_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9932;0.1090;0.1964;13.2638
Anniversary_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0382;0.0737;14.6262
