Parametros;Precisao;Revocacao;F1-Score;Tempo
Assault_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.8798;0.8323;0.8553;0.6934
Assault_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.8753;0.8367;0.8556;0.8603
Assault_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.8751;0.8373;0.8558;0.9140
Assault_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.8746;0.8370;0.8554;0.9770
Assault_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.8746;0.8370;0.8554;0.9854
Assault_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.8757;0.8365;0.8556;1.0407
Assault_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.8850;0.8330;0.8582;1.1644
Assault_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.8913;0.8277;0.8583;1.2459
Assault_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.8973;0.8193;0.8565;1.3462
Assault_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9037;0.8115;0.8551;1.5443
Assault_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9100;0.8015;0.8523;1.6406
Assault_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9143;0.7925;0.8491;1.7647
Assault_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9185;0.7837;0.8458;1.9474
Assault_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9230;0.7760;0.8431;2.1435
Assault_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9555;0.6757;0.7916;3.8139
Assault_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9734;0.5938;0.7376;5.5580
Assault_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9821;0.5068;0.6685;7.1389
Assault_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9862;0.4303;0.5991;8.8109
Assault_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9929;0.3483;0.5156;10.2931
Assault_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9937;0.2760;0.4320;11.8875
Assault_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9935;0.1905;0.3197;13.2341
Assault_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9940;0.0828;0.1528;14.5956
