Parametros;Precisao;Revocacao;F1-Score;Tempo
College_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.8982;0.9310;0.9143;0.7927
College_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.8951;0.9365;0.9153;0.9758
College_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.8947;0.9365;0.9151;1.0425
College_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.8951;0.9367;0.9155;1.0841
College_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.8952;0.9370;0.9156;1.1031
College_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.8956;0.9367;0.9157;1.1231
College_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.8981;0.9363;0.9168;1.1931
College_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9083;0.9307;0.9194;1.3275
College_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9159;0.9225;0.9192;1.5074
College_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9202;0.9135;0.9168;1.7191
College_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9244;0.9085;0.9164;1.8691
College_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9272;0.9038;0.9153;1.9846
College_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9305;0.8968;0.9133;2.1287
College_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9330;0.8908;0.9114;2.3354
College_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9591;0.8100;0.8783;4.0447
College_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9712;0.7335;0.8358;5.6856
College_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9784;0.6460;0.7782;7.2889
College_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9810;0.5280;0.6865;8.8371
College_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9835;0.4333;0.6015;10.4536
College_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9871;0.3247;0.4887;11.9247
College_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9901;0.2253;0.3670;13.3152
College_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9903;0.1275;0.2259;14.5942
