Parametros;Precisao;Revocacao;F1-Score;Tempo
Fire_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9418;0.9220;0.9318;0.7308
Fire_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9390;0.9270;0.9329;0.9231
Fire_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9385;0.9273;0.9328;0.9698
Fire_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9385;0.9270;0.9327;1.0043
Fire_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9385;0.9273;0.9328;1.0140
Fire_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9394;0.9257;0.9325;1.0725
Fire_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9425;0.9223;0.9323;1.1373
Fire_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9507;0.9167;0.9334;1.2172
Fire_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9578;0.9070;0.9317;1.3469
Fire_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9647;0.8948;0.9284;1.5610
Fire_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9689;0.8865;0.9258;1.7468
Fire_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9703;0.8752;0.9203;1.8989
Fire_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9723;0.8675;0.9169;2.0737
Fire_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9745;0.8602;0.9138;2.2503
Fire_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9815;0.7442;0.8466;4.0370
Fire_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9828;0.6552;0.7863;5.6569
Fire_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9838;0.5603;0.7139;7.3371
Fire_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9840;0.4755;0.6412;8.9079
Fire_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9863;0.3767;0.5452;10.4330
Fire_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9869;0.2833;0.4402;11.9316
Fire_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9859;0.1920;0.3214;13.3182
Fire_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9865;0.0915;0.1675;14.6721
