Parametros;Precisao;Revocacao;F1-Score;Tempo
Politics_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9466;0.8955;0.9203;0.8074
Politics_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9432;0.9087;0.9256;1.1218
Politics_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9435;0.9095;0.9262;1.1801
Politics_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9432;0.9097;0.9262;1.2373
Politics_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9432;0.9097;0.9262;1.2861
Politics_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9432;0.9095;0.9261;1.3210
Politics_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9438;0.9062;0.9246;1.3803
Politics_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9466;0.8990;0.9222;1.4950
Politics_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9482;0.8928;0.9196;1.6180
Politics_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9502;0.8870;0.9175;1.7067
Politics_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9528;0.8790;0.9144;1.8643
Politics_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9547;0.8702;0.9105;2.0195
Politics_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9559;0.8615;0.9062;2.1881
Politics_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9581;0.8522;0.9021;2.4085
Politics_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9697;0.7610;0.8528;4.0115
Politics_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9763;0.6695;0.7943;5.7800
Politics_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9785;0.5695;0.7200;7.3640
Politics_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9806;0.4672;0.6329;8.8571
Politics_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9801;0.3688;0.5359;10.4308
Politics_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9794;0.2730;0.4270;11.9362
Politics_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9767;0.1780;0.3011;13.2994
Politics_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9859;0.0872;0.1603;14.8696
