Parametros;Precisao;Revocacao;F1-Score;Tempo
Sport_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9479;0.9150;0.9312;0.8597
Sport_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9459;0.9263;0.9360;1.0875
Sport_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9458;0.9255;0.9356;1.1088
Sport_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9461;0.9255;0.9357;1.1530
Sport_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9458;0.9257;0.9357;1.1738
Sport_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9463;0.9250;0.9355;1.2312
Sport_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9486;0.9223;0.9352;1.2790
Sport_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9497;0.9160;0.9326;1.4023
Sport_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9514;0.9100;0.9302;1.4869
Sport_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9540;0.9012;0.9269;1.6047
Sport_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9546;0.8888;0.9205;1.7410
Sport_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9577;0.8770;0.9156;1.9412
Sport_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9583;0.8685;0.9112;2.1180
Sport_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9593;0.8612;0.9077;2.2859
Sport_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9682;0.7608;0.8520;3.9771
Sport_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9738;0.6585;0.7857;5.7015
Sport_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9813;0.5770;0.7267;7.2391
Sport_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9924;0.4893;0.6554;8.8731
Sport_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9982;0.4093;0.5805;10.4128
Sport_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9992;0.3160;0.4802;11.8840
Sport_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.2140;0.3526;13.3296
Sport_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.1115;0.2006;14.6698
