Parametros;Precisao;Revocacao;F1-Score;Tempo
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9336;0.9100;0.9216;0.7655
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9319;0.9237;0.9278;0.9657
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9317;0.9243;0.9280;1.0104
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9317;0.9243;0.9280;1.0722
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9317;0.9237;0.9277;1.0881
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9328;0.9230;0.9279;1.1246
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9378;0.9197;0.9287;1.2318
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9423;0.9145;0.9282;1.3819
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9483;0.9087;0.9281;1.4903
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9529;0.9005;0.9260;1.5985
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9570;0.8900;0.9223;1.7735
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9600;0.8810;0.9188;1.9324
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9630;0.8725;0.9155;2.1531
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9652;0.8655;0.9126;2.3126
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9806;0.7722;0.8641;3.8927
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9881;0.6847;0.8089;5.5956
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9939;0.5740;0.7277;7.2932
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9963;0.4670;0.6359;8.9190
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9967;0.3780;0.5481;10.4005
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9955;0.2770;0.4334;11.8606
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9946;0.1850;0.3120;13.3329
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9915;0.0877;0.1612;14.6638
