Parametros;Precisao;Revocacao;F1-Score;Tempo
Agriculture_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9718;0.9030;0.9361;0.7413
Agriculture_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9690;0.9135;0.9404;1.0752
Agriculture_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9690;0.9133;0.9403;1.1180
Agriculture_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9692;0.9140;0.9408;1.1516
Agriculture_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9692;0.9137;0.9407;1.1777
Agriculture_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9690;0.9130;0.9401;1.2467
Agriculture_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9705;0.9120;0.9403;1.3128
Agriculture_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9726;0.9065;0.9384;1.4328
Agriculture_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9753;0.8978;0.9349;1.5388
Agriculture_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9778;0.8910;0.9324;1.7008
Agriculture_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9809;0.8855;0.9308;1.8447
Agriculture_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9826;0.8768;0.9267;1.9835
Agriculture_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9841;0.8685;0.9227;2.1759
Agriculture_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9852;0.8632;0.9202;2.3255
Agriculture_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9917;0.7772;0.8715;4.0104
Agriculture_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9942;0.6820;0.8090;5.7412
Agriculture_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9954;0.5903;0.7411;7.3722
Agriculture_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9960;0.4948;0.6611;9.0427
Agriculture_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9975;0.3945;0.5654;10.5236
Agriculture_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9974;0.2825;0.4403;12.0170
Agriculture_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9973;0.1845;0.3114;13.4384
Agriculture_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9974;0.0958;0.1747;14.9377
