Parametros;Precisao;Revocacao;F1-Score;Tempo
Banking_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9635;0.9177;0.9401;0.7312
Banking_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9623;0.9245;0.9430;0.9071
Banking_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9630;0.9245;0.9434;0.9065
Banking_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9628;0.9247;0.9434;0.9306
Banking_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9628;0.9247;0.9434;0.9385
Banking_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9650;0.9233;0.9437;1.0033
Banking_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9668;0.9110;0.9381;1.1321
Banking_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9692;0.9060;0.9366;1.2814
Banking_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9716;0.8980;0.9334;1.4295
Banking_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9724;0.8892;0.9290;1.6397
Banking_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9736;0.8775;0.9231;1.8941
Banking_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9758;0.8688;0.9192;2.0306
Banking_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9770;0.8595;0.9145;2.1739
Banking_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9781;0.8480;0.9084;2.3479
Banking_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9868;0.7465;0.8500;3.9662
Banking_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9888;0.6178;0.7604;5.7706
Banking_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9895;0.5182;0.6802;7.5964
Banking_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9907;0.4245;0.5943;9.1777
Banking_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9902;0.3287;0.4936;10.6495
Banking_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9948;0.2370;0.3828;12.1194
Banking_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9948;0.1432;0.2504;13.5031
Banking_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0678;0.1269;14.9279
