Parametros;Precisao;Revocacao;F1-Score;Tempo
Cancer_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9912;0.9583;0.9745;0.6892
Cancer_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9907;0.9610;0.9756;0.8802
Cancer_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9905;0.9615;0.9758;0.9139
Cancer_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9907;0.9615;0.9759;0.9771
Cancer_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9907;0.9615;0.9759;1.0186
Cancer_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9910;0.9605;0.9755;1.0598
Cancer_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9922;0.9577;0.9747;1.2004
Cancer_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9940;0.9517;0.9724;1.3335
Cancer_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9942;0.9475;0.9703;1.4498
Cancer_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9945;0.9435;0.9683;1.6391
Cancer_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9952;0.9380;0.9658;1.7602
Cancer_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9952;0.9343;0.9638;1.9279
Cancer_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9960;0.9270;0.9602;2.0691
Cancer_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9959;0.9215;0.9573;2.1830
Cancer_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9973;0.8330;0.9078;4.0098
Cancer_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9974;0.7590;0.8620;5.6646
Cancer_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9989;0.6745;0.8053;7.3279
Cancer_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9987;0.5767;0.7312;8.9549
Cancer_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9989;0.4723;0.6413;10.4440
Cancer_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9987;0.3713;0.5413;12.0483
Cancer_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9991;0.2640;0.4176;13.3525
Cancer_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.1378;0.2421;15.0199
