Parametros;Precisao;Revocacao;F1-Score;Tempo
Farms_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9580;0.9177;0.9374;0.8183
Farms_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9581;0.9255;0.9415;1.0532
Farms_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9578;0.9255;0.9414;1.1164
Farms_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9576;0.9260;0.9415;1.1887
Farms_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9576;0.9257;0.9414;1.1833
Farms_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9581;0.9255;0.9415;1.2218
Farms_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9595;0.9230;0.9409;1.2671
Farms_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9610;0.9180;0.9390;1.3899
Farms_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9629;0.9093;0.9353;1.5296
Farms_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9641;0.8995;0.9307;1.7190
Farms_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9669;0.8922;0.9281;1.8676
Farms_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9690;0.8840;0.9246;2.0076
Farms_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9701;0.8752;0.9202;2.1695
Farms_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9712;0.8682;0.9168;2.3388
Farms_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9807;0.7755;0.8661;3.9666
Farms_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9871;0.6703;0.7984;5.9086
Farms_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9906;0.5787;0.7306;7.5146
Farms_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9937;0.4750;0.6428;9.0583
Farms_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9952;0.3615;0.5304;10.5370
Farms_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9962;0.2612;0.4139;12.0988
Farms_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9985;0.1645;0.2825;13.4334
Farms_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9959;0.0610;0.1150;14.7843
