Parametros;Precisao;Revocacao;F1-Score;Tempo
Fashion_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9728;0.9030;0.9366;0.8100
Fashion_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9721;0.9055;0.9376;0.9735
Fashion_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9721;0.9058;0.9378;1.0023
Fashion_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9721;0.9055;0.9376;1.0602
Fashion_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9721;0.9058;0.9378;1.0767
Fashion_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9729;0.9052;0.9378;1.1365
Fashion_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9751;0.9022;0.9373;1.2096
Fashion_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9768;0.8962;0.9348;1.3384
Fashion_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9785;0.8895;0.9319;1.4060
Fashion_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9805;0.8808;0.9280;1.5450
Fashion_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9822;0.8700;0.9227;1.7823
Fashion_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9842;0.8588;0.9172;1.9495
Fashion_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9846;0.8492;0.9119;2.0935
Fashion_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9850;0.8385;0.9059;2.2991
Fashion_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9897;0.7222;0.8351;3.9145
Fashion_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9954;0.5985;0.7475;5.7536
Fashion_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9964;0.4863;0.6536;7.3534
Fashion_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9981;0.3855;0.5562;8.9062
Fashion_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9982;0.2797;0.4370;10.5528
Fashion_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;1.0000;0.1870;0.3151;12.0849
Fashion_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.1180;0.2111;13.5046
Fashion_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0530;0.1007;14.9819
