Parametros;Precisao;Revocacao;F1-Score;Tempo
Homicide_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9789;0.9410;0.9596;0.5560
Homicide_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9785;0.9425;0.9601;0.6986
Homicide_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9785;0.9423;0.9600;0.6991
Homicide_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9785;0.9423;0.9600;0.7316
Homicide_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9785;0.9423;0.9600;0.7580
Homicide_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9797;0.9395;0.9592;0.8321
Homicide_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9808;0.9313;0.9554;0.9211
Homicide_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9819;0.9220;0.9510;1.0923
Homicide_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9838;0.9127;0.9470;1.2908
Homicide_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9850;0.9000;0.9406;1.4809
Homicide_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9861;0.8900;0.9356;1.6383
Homicide_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9868;0.8795;0.9301;1.7707
Homicide_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9878;0.8682;0.9242;1.9442
Homicide_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9879;0.8578;0.9182;2.2004
Homicide_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9923;0.7708;0.8676;3.9477
Homicide_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9934;0.6725;0.8020;5.6444
Homicide_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9943;0.5627;0.7187;7.3165
Homicide_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9952;0.4660;0.6348;9.0241
Homicide_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9961;0.3795;0.5496;10.6736
Homicide_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9966;0.2910;0.4505;12.2418
Homicide_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9975;0.2003;0.3335;13.6049
Homicide_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9976;0.1047;0.1896;15.4977
