Parametros;Precisao;Revocacao;F1-Score;Tempo
Inflation_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9868;0.9175;0.9509;0.6517
Inflation_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9864;0.9247;0.9546;0.7843
Inflation_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9864;0.9255;0.9550;0.8230
Inflation_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9864;0.9253;0.9549;0.8806
Inflation_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9864;0.9253;0.9549;0.8986
Inflation_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9898;0.9230;0.9552;0.9363
Inflation_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9911;0.9167;0.9525;1.0224
Inflation_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9926;0.9103;0.9497;1.1468
Inflation_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9925;0.8988;0.9433;1.3642
Inflation_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9946;0.8808;0.9342;1.5401
Inflation_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9949;0.8718;0.9292;1.7322
Inflation_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9951;0.8595;0.9223;1.8900
Inflation_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9956;0.8500;0.9171;2.0116
Inflation_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9964;0.8397;0.9114;2.2223
Inflation_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9983;0.7230;0.8386;3.9914
Inflation_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9992;0.6088;0.7566;5.6055
Inflation_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9995;0.5070;0.6727;7.3853
Inflation_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9994;0.4170;0.5885;8.9805
Inflation_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;1.0000;0.3275;0.4934;10.5526
Inflation_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;1.0000;0.2395;0.3864;12.0544
Inflation_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.1530;0.2654;13.7596
Inflation_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0870;0.1601;15.2454
