Parametros;Precisao;Revocacao;F1-Score;Tempo
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.8716;0.9077;0.8893;0.8932
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.8701;0.9143;0.8916;1.1232
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.8690;0.9137;0.8908;1.1788
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.8690;0.9140;0.8909;1.2094
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.8691;0.9143;0.8911;1.2123
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.8690;0.9140;0.8909;1.2620
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.8701;0.9127;0.8909;1.3233
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.8710;0.9083;0.8892;1.4309
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.8749;0.9005;0.8875;1.6575
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.8792;0.8938;0.8864;1.7314
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.8829;0.8860;0.8845;1.8945
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.8864;0.8775;0.8819;2.1271
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.8920;0.8710;0.8814;2.2578
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.8966;0.8625;0.8792;2.3766
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9313;0.7732;0.8450;4.0822
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9510;0.6937;0.8023;5.7791
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9595;0.6035;0.7409;7.4018
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9713;0.4985;0.6588;9.1428
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9784;0.3965;0.5643;10.5007
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9875;0.2960;0.4555;12.0202
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9961;0.1908;0.3202;13.5309
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9975;0.0988;0.1797;14.9092
