Parametros;Precisao;Revocacao;F1-Score;Tempo
Wedding_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9790;0.9093;0.9428;0.7207
Wedding_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9784;0.9185;0.9475;0.9916
Wedding_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9784;0.9180;0.9472;0.9993
Wedding_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9784;0.9180;0.9472;1.0522
Wedding_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9784;0.9180;0.9472;1.0799
Wedding_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9791;0.9153;0.9461;1.1847
Wedding_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9799;0.9130;0.9453;1.2288
Wedding_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9811;0.9083;0.9433;1.3606
Wedding_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9823;0.9032;0.9411;1.4758
Wedding_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9830;0.8960;0.9375;1.5935
Wedding_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9837;0.8898;0.9344;1.7215
Wedding_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9841;0.8808;0.9296;1.9082
Wedding_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9864;0.8718;0.9255;2.0574
Wedding_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9882;0.8612;0.9204;2.1945
Wedding_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9931;0.7508;0.8551;3.9269
Wedding_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9938;0.6435;0.7812;5.5739
Wedding_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9948;0.5308;0.6922;7.2314
Wedding_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9965;0.4240;0.5949;8.8721
Wedding_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9992;0.3215;0.4865;10.5302
Wedding_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9988;0.2127;0.3508;12.1028
Wedding_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.1235;0.2198;13.5850
Wedding_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0500;0.0952;15.6322
