Parametros;Precisao;Revocacao;F1-Score;Tempo
Advertising_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9585;0.9060;0.9315;0.7981
Advertising_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9559;0.9150;0.9350;1.1213
Advertising_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9559;0.9153;0.9351;1.1866
Advertising_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9556;0.9150;0.9349;1.2058
Advertising_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9559;0.9150;0.9350;1.2406
Advertising_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9561;0.9145;0.9348;1.3008
Advertising_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9577;0.9115;0.9340;1.3751
Advertising_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9600;0.9070;0.9328;1.4281
Advertising_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9634;0.9008;0.9310;1.5492
Advertising_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9665;0.8935;0.9286;1.7003
Advertising_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9683;0.8868;0.9257;1.8992
Advertising_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9710;0.8798;0.9231;2.0154
Advertising_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9727;0.8720;0.9196;2.1604
Advertising_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9735;0.8628;0.9148;2.3628
Advertising_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9859;0.7700;0.8647;4.0161
Advertising_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9928;0.6558;0.7898;5.7224
Advertising_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9952;0.5645;0.7204;7.2879
Advertising_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9979;0.4750;0.6436;8.9008
Advertising_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9980;0.3822;0.5528;10.4043
Advertising_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9974;0.2900;0.4494;11.8887
Advertising_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9973;0.1857;0.3132;13.3001
Advertising_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0938;0.1714;15.3297
