Parametros;Precisao;Revocacao;F1-Score;Tempo
Christmas_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9863;0.9155;0.9496;0.7372
Christmas_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9856;0.9257;0.9548;0.9808
Christmas_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9856;0.9257;0.9548;1.0268
Christmas_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9856;0.9260;0.9549;1.0814
Christmas_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9856;0.9260;0.9549;1.0950
Christmas_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9856;0.9260;0.9549;1.1328
Christmas_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9861;0.9210;0.9524;1.1930
Christmas_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9871;0.9155;0.9499;1.2887
Christmas_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9878;0.9090;0.9468;1.4495
Christmas_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9885;0.9038;0.9442;1.5518
Christmas_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9895;0.8925;0.9385;1.7009
Christmas_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9907;0.8830;0.9338;1.8386
Christmas_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9929;0.8698;0.9272;1.9859
Christmas_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9934;0.8608;0.9223;2.2000
Christmas_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9968;0.7690;0.8682;4.0310
Christmas_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9964;0.6837;0.8110;5.6811
Christmas_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9962;0.5955;0.7454;7.2564
Christmas_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9965;0.4975;0.6637;8.8151
Christmas_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9968;0.3940;0.5648;10.3626
Christmas_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9965;0.2855;0.4438;11.7996
Christmas_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9961;0.1895;0.3184;13.1880
Christmas_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0975;0.1777;14.5355
