Parametros;Precisao;Revocacao;F1-Score;Tempo
Flood_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9181;0.8715;0.8942;0.7023
Flood_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9163;0.8810;0.8983;0.8883
Flood_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9158;0.8810;0.8981;0.9295
Flood_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9158;0.8810;0.8981;0.9824
Flood_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9158;0.8812;0.8982;0.9744
Flood_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9165;0.8812;0.8985;1.0285
Flood_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9194;0.8750;0.8966;1.1087
Flood_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9238;0.8638;0.8928;1.2711
Flood_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9283;0.8515;0.8883;1.4210
Flood_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9329;0.8380;0.8829;1.5641
Flood_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9365;0.8257;0.8776;1.6935
Flood_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9405;0.8143;0.8728;1.8422
Flood_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9452;0.8023;0.8679;2.0447
Flood_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9515;0.7895;0.8630;2.2291
Flood_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9754;0.6535;0.7826;3.8859
Flood_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9872;0.5403;0.6983;5.5531
Flood_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9905;0.4440;0.6132;7.1982
Flood_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9898;0.3623;0.5304;8.7628
Flood_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9911;0.2782;0.4345;10.3238
Flood_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9929;0.2102;0.3470;11.8177
Flood_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9947;0.1398;0.2451;13.2181
Flood_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0580;0.1096;14.5817
