Parametros;Precisao;Revocacao;F1-Score;Tempo
Health_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.8983;0.9167;0.9074;0.8372
Health_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.8929;0.9257;0.9090;1.1065
Health_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.8927;0.9257;0.9089;1.1461
Health_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.8925;0.9257;0.9088;1.2015
Health_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.8926;0.9263;0.9091;1.2221
Health_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.8923;0.9257;0.9087;1.2501
Health_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.8950;0.9230;0.9088;1.3431
Health_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9016;0.9185;0.9100;1.4174
Health_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9094;0.9113;0.9103;1.5757
Health_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9138;0.9038;0.9087;1.6861
Health_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9178;0.8932;0.9054;1.8769
Health_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9217;0.8822;0.9015;2.0340
Health_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9256;0.8742;0.8992;2.1628
Health_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9287;0.8668;0.8967;2.3241
Health_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9524;0.7698;0.8514;3.9043
Health_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9624;0.6653;0.7867;5.6597
Health_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9682;0.5785;0.7243;7.2663
Health_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9723;0.4823;0.6447;8.8710
Health_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9826;0.3815;0.5496;10.3083
Health_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9848;0.2925;0.4510;12.4175
Health_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9876;0.1990;0.3313;13.2207
Health_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9930;0.1057;0.1911;14.5480
