Parametros;Precisao;Revocacao;F1-Score;Tempo
LGBTQ_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9970;0.9120;0.9526;0.5334
LGBTQ_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9962;0.9150;0.9539;0.6264
LGBTQ_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9962;0.9150;0.9539;0.6490
LGBTQ_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9962;0.9150;0.9539;0.7049
LGBTQ_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9962;0.9145;0.9536;0.7256
LGBTQ_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9975;0.9095;0.9515;0.8340
LGBTQ_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9992;0.8965;0.9451;1.0036
LGBTQ_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9994;0.8878;0.9403;1.1980
LGBTQ_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9994;0.8772;0.9344;1.2967
LGBTQ_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9994;0.8695;0.9299;1.4713
LGBTQ_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9994;0.8625;0.9259;1.6461
LGBTQ_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9994;0.8542;0.9211;1.8233
LGBTQ_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9994;0.8430;0.9146;1.9456
LGBTQ_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9994;0.8280;0.9057;2.0863
LGBTQ_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9997;0.7155;0.8340;3.8436
LGBTQ_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9996;0.5945;0.7456;5.5016
LGBTQ_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9995;0.4803;0.6488;7.1647
LGBTQ_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9993;0.3807;0.5514;8.8107
LGBTQ_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9991;0.2797;0.4371;10.3388
LGBTQ_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9987;0.1875;0.3157;11.8321
LGBTQ_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9979;0.1205;0.2150;13.2489
LGBTQ_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9957;0.0585;0.1105;14.5486
