Parametros;Precisao;Revocacao;F1-Score;Tempo
Marathon_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9795;0.8595;0.9156;0.6663
Marathon_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9774;0.8740;0.9228;0.9104
Marathon_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9773;0.8738;0.9227;0.9469
Marathon_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9771;0.8740;0.9227;1.0248
Marathon_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9771;0.8740;0.9227;1.0356
Marathon_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9778;0.8700;0.9208;1.0996
Marathon_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9787;0.8628;0.9171;1.2006
Marathon_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9794;0.8545;0.9127;1.2995
Marathon_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9828;0.8445;0.9084;1.4477
Marathon_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9843;0.8320;0.9018;1.6301
Marathon_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9856;0.8190;0.8946;1.7217
Marathon_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9883;0.8055;0.8876;1.8480
Marathon_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9894;0.7915;0.8794;2.0235
Marathon_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9893;0.7843;0.8749;2.1818
Marathon_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9984;0.6305;0.7729;3.8087
Marathon_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9995;0.5198;0.6839;5.5340
Marathon_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9994;0.4098;0.5812;7.0823
Marathon_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;1.0000;0.3175;0.4820;8.6331
Marathon_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;1.0000;0.2193;0.3596;10.0845
Marathon_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;1.0000;0.1435;0.2510;11.6204
Marathon_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.0710;0.1326;13.1375
Marathon_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0195;0.0383;14.5557
