Parametros;Precisao;Revocacao;F1-Score;Tempo
Nature_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.8521;0.9018;0.8762;0.9017
Nature_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.8454;0.9080;0.8756;1.1614
Nature_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.8452;0.9087;0.8758;1.2512
Nature_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.8458;0.9095;0.8765;1.2719
Nature_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.8455;0.9087;0.8760;1.2909
Nature_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.8456;0.9090;0.8761;1.3161
Nature_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.8488;0.9067;0.8768;1.3648
Nature_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.8519;0.9018;0.8761;1.4866
Nature_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.8560;0.8930;0.8741;1.6339
Nature_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.8607;0.8838;0.8721;1.8117
Nature_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.8669;0.8780;0.8724;1.9712
Nature_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.8713;0.8702;0.8708;2.0716
Nature_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.8786;0.8610;0.8697;2.2305
Nature_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.8838;0.8518;0.8675;2.4070
Nature_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9288;0.7568;0.8340;4.0134
Nature_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9530;0.6490;0.7722;5.7142
Nature_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9655;0.5533;0.7034;7.3698
Nature_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9717;0.4545;0.6193;8.9866
Nature_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9775;0.3585;0.5246;10.4840
Nature_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9935;0.2670;0.4209;11.8547
Nature_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9972;0.1752;0.2981;13.2379
Nature_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9974;0.0958;0.1747;14.5437
