Parametros;Precisao;Revocacao;F1-Score;Tempo
Pandemic_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9127;0.9012;0.9069;0.7117
Pandemic_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9113;0.9045;0.9079;0.8122
Pandemic_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9111;0.9042;0.9077;0.8162
Pandemic_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9104;0.9040;0.9072;0.8451
Pandemic_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9104;0.9038;0.9070;0.8634
Pandemic_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9112;0.9032;0.9072;0.8907
Pandemic_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9179;0.8945;0.9061;1.0165
Pandemic_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9255;0.8852;0.9049;1.1666
Pandemic_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9323;0.8675;0.8987;1.2602
Pandemic_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9404;0.8515;0.8937;1.4532
Pandemic_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9486;0.8350;0.8882;1.6219
Pandemic_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9572;0.8103;0.8776;1.8442
Pandemic_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9607;0.7953;0.8702;2.0173
Pandemic_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9640;0.7768;0.8603;2.1522
Pandemic_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9823;0.6398;0.7749;3.8479
Pandemic_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9871;0.4960;0.6602;5.4429
Pandemic_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9897;0.3840;0.5533;7.1110
Pandemic_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9931;0.2893;0.4480;8.7864
Pandemic_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9925;0.1978;0.3298;10.3579
Pandemic_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9975;0.1010;0.1834;11.9332
Pandemic_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.0447;0.0857;13.3374
Pandemic_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0067;0.0134;14.6228
