Parametros;Precisao;Revocacao;F1-Score;Tempo
Parliament_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9617;0.8782;0.9181;0.6648
Parliament_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9607;0.8850;0.9213;0.8425
Parliament_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9604;0.8852;0.9213;0.8531
Parliament_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9604;0.8855;0.9214;0.8920
Parliament_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9604;0.8855;0.9214;0.9109
Parliament_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9614;0.8832;0.9207;0.9621
Parliament_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9637;0.8760;0.9178;1.0713
Parliament_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9690;0.8672;0.9153;1.2101
Parliament_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9757;0.8522;0.9098;1.3535
Parliament_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9773;0.8403;0.9036;1.5121
Parliament_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9790;0.8255;0.8957;1.6815
Parliament_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9808;0.8157;0.8907;1.8083
Parliament_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9820;0.8065;0.8857;1.9377
Parliament_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9847;0.7903;0.8768;2.0977
Parliament_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9880;0.5945;0.7423;3.8754
Parliament_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9898;0.4113;0.5811;5.6437
Parliament_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9890;0.2465;0.3946;7.3748
Parliament_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9886;0.1303;0.2302;9.0828
Parliament_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9827;0.0568;0.1073;10.6363
Parliament_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9487;0.0185;0.0363;11.9892
Parliament_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.8667;0.0032;0.0065;13.2718
Parliament_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.0000;0.0000;0.0000;14.5220
