Parametros;Precisao;Revocacao;F1-Score;Tempo
Party_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.8828;0.9042;0.8934;0.7638
Party_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.8758;0.9117;0.8934;1.0190
Party_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.8763;0.9117;0.8937;1.0439
Party_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.8758;0.9117;0.8934;1.1215
Party_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.8758;0.9117;0.8934;1.1497
Party_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.8773;0.9117;0.8942;1.1927
Party_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.8794;0.9093;0.8941;1.2385
Party_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.8883;0.9048;0.8965;1.3007
Party_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.8940;0.8965;0.8953;1.4791
Party_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9002;0.8888;0.8945;1.6320
Party_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9053;0.8775;0.8912;1.7844
Party_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9100;0.8695;0.8893;1.9988
Party_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9158;0.8598;0.8869;2.1534
Party_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9205;0.8478;0.8826;2.2846
Party_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9498;0.7572;0.8427;4.0039
Party_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9626;0.6555;0.7799;5.6286
Party_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9791;0.5635;0.7153;7.2502
Party_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9836;0.4788;0.6440;8.8281
Party_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9917;0.3867;0.5565;10.3959
Party_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9932;0.2930;0.4525;11.8397
Party_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9965;0.2145;0.3530;13.2437
Party_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9959;0.1210;0.2158;14.5279
