Parametros;Precisao;Revocacao;F1-Score;Tempo
Surgery_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9779;0.9203;0.9482;0.7183
Surgery_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9768;0.9277;0.9517;0.9823
Surgery_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9774;0.9280;0.9520;1.0343
Surgery_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9771;0.9283;0.9521;1.0839
Surgery_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9771;0.9280;0.9519;1.1034
Surgery_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9792;0.9295;0.9537;1.1615
Surgery_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9807;0.9273;0.9532;1.2535
Surgery_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9821;0.9210;0.9506;1.3604
Surgery_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9828;0.9167;0.9486;1.4708
Surgery_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9835;0.9085;0.9445;1.5829
Surgery_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9853;0.9020;0.9418;1.7337
Surgery_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9865;0.8922;0.9370;1.8760
Surgery_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9879;0.8805;0.9311;2.0389
Surgery_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9884;0.8712;0.9261;2.2202
Surgery_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9943;0.7823;0.8756;3.9309
Surgery_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9978;0.6927;0.8178;5.6744
Surgery_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9983;0.5917;0.7431;7.2367
Surgery_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9990;0.4943;0.6613;8.7965
Surgery_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;1.0000;0.3710;0.5412;10.3670
Surgery_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;1.0000;0.2707;0.4261;11.7791
Surgery_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.1797;0.3047;13.1910
Surgery_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0892;0.1639;14.8332
