Parametros;Precisao;Revocacao;F1-Score;Tempo
Tourism_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9777;0.9090;0.9421;0.8580
Tourism_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9765;0.9157;0.9452;1.1369
Tourism_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9763;0.9160;0.9452;1.1570
Tourism_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9763;0.9157;0.9450;1.2185
Tourism_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9763;0.9155;0.9449;1.2498
Tourism_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9763;0.9155;0.9449;1.2914
Tourism_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9765;0.9150;0.9448;1.3044
Tourism_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9772;0.9100;0.9424;1.3898
Tourism_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9794;0.9040;0.9402;1.5436
Tourism_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9814;0.8950;0.9362;1.7272
Tourism_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9823;0.8858;0.9315;1.8800
Tourism_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9840;0.8770;0.9274;2.0340
Tourism_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9842;0.8708;0.9240;2.2011
Tourism_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9846;0.8620;0.9192;2.3371
Tourism_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9919;0.7648;0.8636;3.9817
Tourism_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9985;0.6590;0.7940;5.6202
Tourism_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9991;0.5430;0.7036;7.3178
Tourism_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9994;0.4497;0.6203;8.9584
Tourism_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9993;0.3600;0.5293;10.4847
Tourism_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;1.0000;0.2585;0.4108;11.8473
Tourism_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.1585;0.2736;13.2397
Tourism_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0665;0.1247;14.5552
