Parametros;Precisao;Revocacao;F1-Score;Tempo
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9654;0.9130;0.9385;0.7926
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9638;0.9180;0.9403;0.9974
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9635;0.9180;0.9402;1.0585
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9638;0.9183;0.9405;1.0984
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9638;0.9180;0.9403;1.1196
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9637;0.9170;0.9398;1.1581
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9666;0.9123;0.9386;1.2553
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9706;0.9085;0.9385;1.3769
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9714;0.9015;0.9352;1.5084
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9739;0.8950;0.9328;1.6555
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9761;0.8900;0.9311;1.8121
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9779;0.8852;0.9293;1.9983
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9797;0.8802;0.9273;2.1466
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9817;0.8735;0.9245;2.2963
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9918;0.7865;0.8773;3.9200
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9945;0.6835;0.8102;5.5646
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9953;0.5810;0.7337;7.2217
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9950;0.4930;0.6593;8.7742
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9949;0.3895;0.5598;10.3474
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9957;0.2925;0.4522;11.8262
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9963;0.1998;0.3328;13.2075
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9952;0.1032;0.1871;14.5524
