Parametros;Precisao;Revocacao;F1-Score;Tempo
Bribery_DistilBERTML_1783_5350_OCSVM_RBF_0,0001_scale;0.8561;0.8755;0.8657;0.5810
Bribery_DistilBERTML_1783_5350_OCSVM_RBF_0,0005_scale;0.8505;0.8870;0.8684;0.8230
Bribery_DistilBERTML_1783_5350_OCSVM_RBF_0,001_scale;0.8499;0.8870;0.8680;0.8699
Bribery_DistilBERTML_1783_5350_OCSVM_RBF_0,005_scale;0.8497;0.8879;0.8684;0.9275
Bribery_DistilBERTML_1783_5350_OCSVM_RBF_0,01_scale;0.8497;0.8879;0.8684;0.9380
Bribery_DistilBERTML_1783_5350_OCSVM_RBF_0,02_scale;0.8505;0.8867;0.8682;0.9913
Bribery_DistilBERTML_1783_5350_OCSVM_RBF_0,03_scale;0.8542;0.8839;0.8688;1.0803
Bribery_DistilBERTML_1783_5350_OCSVM_RBF_0,04_scale;0.8612;0.8800;0.8705;1.1540
Bribery_DistilBERTML_1783_5350_OCSVM_RBF_0,05_scale;0.8653;0.8713;0.8683;1.2607
Bribery_DistilBERTML_1783_5350_OCSVM_RBF_0,06_scale;0.8710;0.8632;0.8671;1.3762
Bribery_DistilBERTML_1783_5350_OCSVM_RBF_0,07_scale;0.8759;0.8567;0.8662;1.5229
Bribery_DistilBERTML_1783_5350_OCSVM_RBF_0,08_scale;0.8799;0.8500;0.8647;1.6202
Bribery_DistilBERTML_1783_5350_OCSVM_RBF_0,09_scale;0.8860;0.8410;0.8629;1.7144
Bribery_DistilBERTML_1783_5350_OCSVM_RBF_0,1_scale;0.8917;0.8310;0.8603;1.8452
Bribery_DistilBERTML_1783_5350_OCSVM_RBF_0,2_scale;0.9273;0.7292;0.8164;3.1932
Bribery_DistilBERTML_1783_5350_OCSVM_RBF_0,3_scale;0.9446;0.6114;0.7423;4.6400
Bribery_DistilBERTML_1783_5350_OCSVM_RBF_0,4_scale;0.9593;0.5153;0.6704;5.9487
Bribery_DistilBERTML_1783_5350_OCSVM_RBF_0,5_scale;0.9693;0.4334;0.5990;7.2607
Bribery_DistilBERTML_1783_5350_OCSVM_RBF_0,6_scale;0.9739;0.3241;0.4863;8.5391
Bribery_DistilBERTML_1783_5350_OCSVM_RBF_0,7_scale;0.9820;0.2139;0.3513;9.6062
Bribery_DistilBERTML_1783_5350_OCSVM_RBF_0,8_scale;0.9886;0.1214;0.2162;10.7140
Bribery_DistilBERTML_1783_5350_OCSVM_RBF_0,9_scale;0.9877;0.0451;0.0863;11.9246
