Parametros;Precisao;Revocacao;F1-Score;Tempo
Coal_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9752;0.9447;0.9597;0.6746
Coal_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9750;0.9465;0.9605;0.8072
Coal_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9748;0.9470;0.9607;0.8422
Coal_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9748;0.9467;0.9606;0.8604
Coal_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9748;0.9467;0.9606;0.8766
Coal_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9757;0.9445;0.9599;0.9407
Coal_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9814;0.9390;0.9598;1.0309
Coal_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9855;0.9327;0.9584;1.1582
Coal_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9880;0.9260;0.9560;1.2974
Coal_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9903;0.9147;0.9510;1.4792
Coal_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9912;0.9028;0.9449;1.6737
Coal_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9914;0.8888;0.9373;1.8945
Coal_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9929;0.8795;0.9328;2.0911
Coal_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9940;0.8725;0.9293;2.2047
Coal_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9987;0.7835;0.8781;3.9288
Coal_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9989;0.6837;0.8118;5.7037
Coal_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9987;0.5770;0.7314;7.3489
Coal_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9984;0.4815;0.6497;9.0032
Coal_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9980;0.3728;0.5428;10.5435
Coal_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9982;0.2833;0.4413;12.0865
Coal_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9987;0.1978;0.3301;13.5817
Coal_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0948;0.1731;15.0141
