Parametros;Precisao;Revocacao;F1-Score;Tempo
Environment_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9312;0.8968;0.9137;0.8903
Environment_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9267;0.9097;0.9181;1.2220
Environment_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9267;0.9163;0.9214;1.3141
Environment_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9267;0.9173;0.9220;1.4048
Environment_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9267;0.9160;0.9213;1.4288
Environment_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9267;0.9173;0.9220;1.4550
Environment_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9270;0.9115;0.9192;1.5216
Environment_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9295;0.9067;0.9180;1.6261
Environment_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9324;0.9032;0.9176;1.7667
Environment_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9340;0.8948;0.9139;1.9198
Environment_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9371;0.8905;0.9132;2.0745
Environment_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9389;0.8800;0.9085;2.2076
Environment_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9426;0.8740;0.9070;2.3635
Environment_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9452;0.8670;0.9044;2.5418
Environment_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9649;0.7635;0.8525;4.0685
Environment_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9775;0.6637;0.7906;5.7408
Environment_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9878;0.5665;0.7201;7.4103
Environment_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9922;0.4755;0.6429;9.0481
Environment_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9954;0.3820;0.5521;10.5882
Environment_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9974;0.2880;0.4469;12.0494
Environment_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9986;0.1755;0.2985;13.5570
Environment_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0762;0.1417;14.9244
