Parametros;Precisao;Revocacao;F1-Score;Tempo
Ethics_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9687;0.8905;0.9280;0.8003
Ethics_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9682;0.8992;0.9325;1.0439
Ethics_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9682;0.8992;0.9325;1.0881
Ethics_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9683;0.8998;0.9327;1.1309
Ethics_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9683;0.8998;0.9327;1.1691
Ethics_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9688;0.9005;0.9334;1.2259
Ethics_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9692;0.8978;0.9321;1.2630
Ethics_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9714;0.8905;0.9292;1.3754
Ethics_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9750;0.8778;0.9238;1.5653
Ethics_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9778;0.8692;0.9203;1.7109
Ethics_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9781;0.8598;0.9151;1.8922
Ethics_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9801;0.8518;0.9114;2.0453
Ethics_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9819;0.8423;0.9067;2.2007
Ethics_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9838;0.8325;0.9018;2.4306
Ethics_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9944;0.7057;0.8256;4.0482
Ethics_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9971;0.6070;0.7546;5.7340
Ethics_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9990;0.5198;0.6838;7.4170
Ethics_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9988;0.4308;0.6019;9.0977
Ethics_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9993;0.3362;0.5032;10.6549
Ethics_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9990;0.2432;0.3912;12.1943
Ethics_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9984;0.1605;0.2765;13.8686
Ethics_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9967;0.0750;0.1395;15.4160
