Parametros;Precisao;Revocacao;F1-Score;Tempo
Grocery_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9556;0.9245;0.9398;0.7275
Grocery_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9551;0.9303;0.9425;0.9459
Grocery_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9548;0.9305;0.9425;0.9739
Grocery_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9544;0.9313;0.9427;1.0057
Grocery_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9544;0.9307;0.9424;1.0326
Grocery_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9546;0.9295;0.9419;1.0750
Grocery_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9564;0.9263;0.9411;1.1789
Grocery_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9591;0.9193;0.9387;1.2651
Grocery_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9635;0.9097;0.9358;1.4215
Grocery_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9661;0.9038;0.9339;1.6004
Grocery_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9707;0.8940;0.9308;1.8203
Grocery_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9726;0.8882;0.9285;1.9677
Grocery_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9735;0.8828;0.9259;2.1345
Grocery_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9747;0.8772;0.9234;2.3203
Grocery_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9906;0.7917;0.8801;3.9319
Grocery_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9949;0.6795;0.8075;5.6354
Grocery_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9965;0.5680;0.7236;7.2673
Grocery_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9984;0.4690;0.6382;8.8981
Grocery_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9994;0.3957;0.5670;10.4777
Grocery_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9992;0.3063;0.4688;12.0495
Grocery_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.2052;0.3406;13.4993
Grocery_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0780;0.1447;15.2024
