Parametros;Precisao;Revocacao;F1-Score;Tempo
Impeachment_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9820;0.9127;0.9461;0.5297
Impeachment_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9816;0.9180;0.9487;0.6338
Impeachment_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9815;0.9175;0.9484;0.6580
Impeachment_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9815;0.9175;0.9484;0.6912
Impeachment_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9815;0.9175;0.9484;0.7112
Impeachment_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9840;0.9085;0.9448;0.7960
Impeachment_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9852;0.8970;0.9390;0.9032
Impeachment_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9874;0.8842;0.9330;1.0440
Impeachment_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9897;0.8635;0.9223;1.1724
Impeachment_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9915;0.8407;0.9099;1.3461
Impeachment_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9919;0.8267;0.9018;1.5522
Impeachment_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9926;0.8100;0.8921;1.7192
Impeachment_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9928;0.7973;0.8844;1.8865
Impeachment_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9936;0.7800;0.8739;2.0678
Impeachment_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9958;0.6480;0.7851;3.8360
Impeachment_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9971;0.5162;0.6803;5.5797
Impeachment_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9969;0.4050;0.5760;7.3403
Impeachment_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9968;0.3152;0.4790;8.9557
Impeachment_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9989;0.2350;0.3805;10.6651
Impeachment_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;1.0000;0.1487;0.2590;12.2331
Impeachment_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.0838;0.1546;13.5270
Impeachment_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0270;0.0526;15.1448
