Parametros;Precisao;Revocacao;F1-Score;Tempo
Retirement_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9596;0.8972;0.9274;0.8349
Retirement_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9591;0.9093;0.9335;1.0592
Retirement_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9588;0.9085;0.9330;1.1075
Retirement_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9589;0.9090;0.9333;1.1449
Retirement_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9591;0.9090;0.9334;1.1618
Retirement_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9599;0.9090;0.9337;1.2235
Retirement_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9608;0.9060;0.9326;1.2744
Retirement_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9640;0.9032;0.9326;1.3594
Retirement_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9684;0.8968;0.9312;1.4685
Retirement_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9735;0.8922;0.9311;1.6144
Retirement_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9770;0.8822;0.9272;1.7383
Retirement_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9795;0.8735;0.9235;1.9696
Retirement_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9805;0.8652;0.9193;2.1044
Retirement_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9826;0.8485;0.9107;2.2809
Retirement_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9896;0.7143;0.8297;4.0364
Retirement_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9917;0.5968;0.7451;5.6884
Retirement_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9943;0.4830;0.6502;7.4215
Retirement_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9955;0.3830;0.5532;8.9445
Retirement_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9963;0.2665;0.4205;10.5152
Retirement_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9961;0.1895;0.3184;12.0653
Retirement_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9938;0.1207;0.2153;13.4433
Retirement_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9959;0.0602;0.1136;14.8604
