Parametros;Precisao;Revocacao;F1-Score;Tempo
Revolution_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9448;0.9035;0.9237;0.7973
Revolution_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9432;0.9090;0.9258;1.0437
Revolution_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9427;0.9087;0.9254;1.0949
Revolution_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9422;0.9093;0.9254;1.1280
Revolution_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9425;0.9090;0.9254;1.1551
Revolution_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9424;0.9087;0.9253;1.1874
Revolution_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9456;0.9035;0.9241;1.2621
Revolution_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9492;0.8968;0.9222;1.3953
Revolution_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9501;0.8898;0.9189;1.5571
Revolution_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9528;0.8825;0.9163;1.6795
Revolution_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9580;0.8730;0.9135;1.8347
Revolution_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9621;0.8642;0.9106;2.0260
Revolution_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9640;0.8558;0.9066;2.2176
Revolution_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9659;0.8485;0.9034;2.3309
Revolution_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9804;0.7508;0.8503;4.0682
Revolution_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9926;0.6685;0.7989;5.8215
Revolution_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9961;0.5797;0.7329;7.4012
Revolution_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9968;0.4667;0.6358;8.9826
Revolution_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9980;0.3735;0.5436;10.5371
Revolution_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9982;0.2700;0.4250;12.0265
Revolution_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9985;0.1665;0.2854;13.4889
Revolution_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0757;0.1408;15.1874
