Parametros;Precisao;Revocacao;F1-Score;Tempo
Surveillance_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9088;0.9243;0.9165;0.8022
Surveillance_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9041;0.9337;0.9187;1.0507
Surveillance_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9044;0.9345;0.9192;1.1324
Surveillance_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9045;0.9347;0.9194;1.1654
Surveillance_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9042;0.9345;0.9191;1.1998
Surveillance_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9044;0.9343;0.9191;1.2302
Surveillance_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9065;0.9303;0.9182;1.2733
Surveillance_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9119;0.9215;0.9167;1.3972
Surveillance_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9163;0.9143;0.9153;1.5797
Surveillance_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9227;0.9105;0.9166;1.7591
Surveillance_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9248;0.9040;0.9143;1.9161
Surveillance_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9284;0.8975;0.9127;2.0543
Surveillance_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9321;0.8892;0.9102;2.1889
Surveillance_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9343;0.8810;0.9068;2.3539
Surveillance_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9598;0.7885;0.8658;4.0596
Surveillance_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9780;0.6997;0.8158;5.7069
Surveillance_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9882;0.6060;0.7513;7.3390
Surveillance_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9917;0.5100;0.6736;9.0180
Surveillance_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9939;0.4075;0.5780;10.6308
Surveillance_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9975;0.3048;0.4669;12.0579
Surveillance_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9974;0.1950;0.3262;13.6104
Surveillance_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0960;0.1752;15.2419
