Parametros;Precisao;Revocacao;F1-Score;Tempo
Automotive_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9694;0.9183;0.9431;0.7992
Automotive_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9698;0.9245;0.9466;1.0752
Automotive_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9695;0.9233;0.9458;1.0991
Automotive_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9698;0.9247;0.9468;1.1711
Automotive_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9699;0.9250;0.9469;1.1953
Automotive_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9699;0.9250;0.9469;1.2202
Automotive_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9703;0.9227;0.9459;1.2756
Automotive_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9714;0.9163;0.9430;1.4330
Automotive_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9727;0.9095;0.9401;1.5847
Automotive_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9747;0.8975;0.9345;1.7166
Automotive_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9772;0.8902;0.9317;1.9198
Automotive_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9790;0.8850;0.9296;2.0534
Automotive_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9796;0.8750;0.9243;2.1902
Automotive_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9808;0.8662;0.9200;2.3552
Automotive_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9897;0.7685;0.8652;4.0601
Automotive_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9920;0.6863;0.8113;5.7880
Automotive_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9959;0.6002;0.7490;7.4558
Automotive_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9975;0.5022;0.6681;9.0437
Automotive_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9982;0.4138;0.5850;10.5886
Automotive_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9984;0.3210;0.4858;12.1358
Automotive_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.2127;0.3509;13.5839
Automotive_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.1113;0.2002;15.0345
