Parametros;Precisao;Revocacao;F1-Score;Tempo
Bonds_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.8684;0.9075;0.8875;0.7878
Bonds_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.8589;0.9195;0.8882;1.1887
Bonds_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.8589;0.9210;0.8889;1.2357
Bonds_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.8590;0.9213;0.8890;1.2850
Bonds_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.8588;0.9203;0.8885;1.3169
Bonds_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.8590;0.9203;0.8886;1.3558
Bonds_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.8605;0.9207;0.8896;1.3911
Bonds_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.8668;0.9173;0.8913;1.4819
Bonds_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.8739;0.9100;0.8916;1.6743
Bonds_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.8782;0.9048;0.8913;1.7582
Bonds_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.8826;0.8982;0.8903;1.8627
Bonds_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.8889;0.8922;0.8906;2.0098
Bonds_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.8929;0.8838;0.8883;2.1763
Bonds_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.8974;0.8788;0.8880;2.2876
Bonds_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9402;0.7750;0.8497;4.1057
Bonds_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9638;0.6913;0.8051;5.6873
Bonds_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9745;0.6115;0.7515;7.4124
Bonds_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9822;0.5228;0.6823;9.3518
Bonds_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9892;0.4123;0.5820;10.5463
Bonds_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9942;0.3000;0.4609;12.0773
Bonds_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9941;0.2115;0.3488;13.6227
Bonds_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9955;0.1098;0.1977;14.9294
