Parametros;Precisao;Revocacao;F1-Score;Tempo
Charity_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9247;0.9240;0.9243;0.7551
Charity_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9196;0.9320;0.9258;1.0411
Charity_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9195;0.9335;0.9264;1.1221
Charity_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9192;0.9333;0.9262;1.1702
Charity_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9192;0.9333;0.9262;1.1968
Charity_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9198;0.9323;0.9260;1.2290
Charity_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9211;0.9305;0.9258;1.3024
Charity_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9267;0.9255;0.9261;1.4325
Charity_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9321;0.9195;0.9257;1.5806
Charity_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9353;0.9137;0.9244;1.7447
Charity_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9396;0.9093;0.9242;1.8359
Charity_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9435;0.9025;0.9226;2.0296
Charity_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9466;0.8955;0.9203;2.1683
Charity_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9480;0.8895;0.9178;2.3379
Charity_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9711;0.8065;0.8812;4.1159
Charity_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9836;0.7212;0.8323;5.6961
Charity_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9892;0.6418;0.7785;7.3989
Charity_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9939;0.5252;0.6873;8.9474
Charity_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9946;0.4180;0.5886;10.5044
Charity_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9961;0.3192;0.4835;12.1155
Charity_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9977;0.2127;0.3507;13.6197
Charity_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9974;0.0958;0.1747;15.0627
