Parametros;Precisao;Revocacao;F1-Score;Tempo
Imports_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9785;0.8992;0.9372;0.6898
Imports_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9771;0.9083;0.9414;0.9383
Imports_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9771;0.9080;0.9413;0.9595
Imports_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9772;0.9087;0.9417;1.0085
Imports_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9772;0.9087;0.9417;1.0169
Imports_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9790;0.9075;0.9419;1.0748
Imports_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9812;0.8998;0.9387;1.1927
Imports_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9823;0.8895;0.9336;1.3784
Imports_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9829;0.8788;0.9279;1.5586
Imports_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9842;0.8722;0.9249;1.6965
Imports_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9849;0.8658;0.9215;1.8628
Imports_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9868;0.8568;0.9172;1.9749
Imports_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9872;0.8502;0.9136;2.1216
Imports_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9874;0.8407;0.9082;2.3280
Imports_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9915;0.7017;0.8218;3.9542
Imports_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9927;0.5817;0.7336;5.7271
Imports_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9929;0.4865;0.6530;7.4184
Imports_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9918;0.3922;0.5622;9.1781
Imports_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9952;0.3115;0.4745;10.6487
Imports_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9945;0.2243;0.3660;12.1845
Imports_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9983;0.1490;0.2593;13.6179
Imports_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0727;0.1356;15.1292
