Parametros;Precisao;Revocacao;F1-Score;Tempo
Medicaid_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9875;0.9303;0.9580;0.5870
Medicaid_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9871;0.9353;0.9605;0.8277
Medicaid_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9871;0.9353;0.9605;0.8388
Medicaid_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9871;0.9350;0.9603;0.8648
Medicaid_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9871;0.9350;0.9603;0.8930
Medicaid_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9876;0.9343;0.9602;0.9462
Medicaid_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9883;0.9275;0.9569;1.0852
Medicaid_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9887;0.9155;0.9507;1.1990
Medicaid_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9891;0.9062;0.9459;1.3301
Medicaid_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9895;0.8952;0.9400;1.4999
Medicaid_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9894;0.8862;0.9350;1.7051
Medicaid_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9898;0.8765;0.9297;1.8311
Medicaid_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9906;0.8662;0.9242;2.0456
Medicaid_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9916;0.8582;0.9201;2.2246
Medicaid_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9942;0.7708;0.8683;3.8943
Medicaid_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9940;0.6660;0.7976;5.6145
Medicaid_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9961;0.5730;0.7275;7.3348
Medicaid_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9963;0.4708;0.6394;8.9442
Medicaid_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9973;0.3693;0.5390;10.5411
Medicaid_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9982;0.2747;0.4309;12.1636
Medicaid_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9986;0.1830;0.3093;13.5292
Medicaid_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0953;0.1739;14.9559
